System Properties
Collision Frequency :0.228000
Pressure: 0.005460
Temparature: 0.000362
rms Velocity: 0.010000
Mean Free Path: 0.430663

particle states
0.109916 0.546353 -0.000076 0.014158
0.109840 0.560511 -0.000076 0.014158
0.109763 0.574668 -0.000076 0.014158
0.109687 0.588826 -0.000076 0.014158
0.109611 0.602983 -0.000076 0.014158
0.109535 0.617141 -0.000076 0.014158
0.109458 0.631299 -0.000076 0.014158
0.109382 0.645456 -0.000076 0.014158
0.109306 0.659614 -0.000076 0.014158
0.109229 0.673772 -0.000076 0.014158
0.109153 0.687929 -0.000076 0.014158
0.109077 0.702087 -0.000076 0.014158
0.109001 0.716245 -0.000076 0.014158
0.108924 0.730402 -0.000076 0.014158
0.108848 0.744560 -0.000076 0.014158
0.108772 0.758718 -0.000076 0.014158
0.108695 0.772875 -0.000076 0.014158
0.108619 0.787033 -0.000076 0.014158
0.108543 0.801190 -0.000076 0.014158
0.108467 0.815348 -0.000076 0.014158
0.108390 0.829506 -0.000076 0.014158
0.108314 0.843663 -0.000076 0.014158
0.108238 0.857821 -0.000076 0.014158
0.108161 0.871979 -0.000076 0.014158
0.108085 0.886136 -0.000076 0.014158
0.108009 0.900294 -0.000076 0.014158
0.107933 0.914452 -0.000076 0.014158
0.107856 0.928609 -0.000076 0.014158
0.107780 0.942767 -0.000076 0.014158
0.107704 0.956924 -0.000076 0.014158
0.107627 0.971082 -0.000076 0.014158
0.107551 0.974760 -0.000076 -0.014158
0.107475 0.960603 -0.000076 -0.014158
0.107399 0.946445 -0.000076 -0.014158
0.107322 0.932287 -0.000076 -0.014158
0.107246 0.918130 -0.000076 -0.014158
0.107170 0.903972 -0.000076 -0.014158
0.107093 0.889814 -0.000076 -0.014158
0.107017 0.875657 -0.000076 -0.014158
0.106941 0.861499 -0.000076 -0.014158
0.106865 0.847341 -0.000076 -0.014158
0.106788 0.833184 -0.000076 -0.014158
0.106712 0.819026 -0.000076 -0.014158
0.106636 0.804869 -0.000076 -0.014158
0.106559 0.790711 -0.000076 -0.014158
0.106483 0.776553 -0.000076 -0.014158
0.106407 0.762396 -0.000076 -0.014158
0.106331 0.748238 -0.000076 -0.014158
0.106254 0.734080 -0.000076 -0.014158
0.106178 0.719923 -0.000076 -0.014158
0.106102 0.705765 -0.000076 -0.014158
0.106025 0.691607 -0.000076 -0.014158
0.105949 0.677450 -0.000076 -0.014158
0.105873 0.663292 -0.000076 -0.014158
0.105797 0.649135 -0.000076 -0.014158
0.105720 0.634977 -0.000076 -0.014158
0.105644 0.620819 -0.000076 -0.014158
0.105568 0.606662 -0.000076 -0.014158
0.105491 0.592504 -0.000076 -0.014158
0.105415 0.578346 -0.000076 -0.014158
0.105339 0.564189 -0.000076 -0.014158
0.105263 0.550031 -0.000076 -0.014158
0.105186 0.535873 -0.000076 -0.014158
0.105110 0.521716 -0.000076 -0.014158
0.105034 0.507558 -0.000076 -0.014158
0.104957 0.493400 -0.000076 -0.014158
0.104881 0.479243 -0.000076 -0.014158
0.104805 0.465085 -0.000076 -0.014158
0.104729 0.450928 -0.000076 -0.014158
0.104652 0.436770 -0.000076 -0.014158
0.104576 0.422612 -0.000076 -0.014158
0.104500 0.408455 -0.000076 -0.014158
0.104866 0.396605 0.002974 0.001761
0.107839 0.398366 0.002974 0.001761
0.110813 0.400127 0.002974 0.001761
0.113787 0.401888 0.002974 0.001761
0.116761 0.403649 0.002974 0.001761
0.119734 0.405410 0.002974 0.001761
0.122708 0.407171 0.002974 0.001761
0.125682 0.408933 0.002974 0.001761
0.128655 0.410694 0.002974 0.001761
0.131629 0.412455 0.002974 0.001761
0.134603 0.414216 0.002974 0.001761
0.137577 0.415977 0.002974 0.001761
0.140550 0.417738 0.002974 0.001761
0.143524 0.419499 0.002974 0.001761
0.146498 0.421261 0.002974 0.001761
0.149472 0.423022 0.002974 0.001761
0.152445 0.424783 0.002974 0.001761
0.155419 0.426544 0.002974 0.001761
0.158393 0.428305 0.002974 0.001761
0.161367 0.430066 0.002974 0.001761
0.164340 0.431827 0.002974 0.001761
0.167314 0.433589 0.002974 0.001761
0.170288 0.435350 0.002974 0.001761
0.173261 0.437111 0.002974 0.001761
0.176235 0.438872 0.002974 0.001761
0.179209 0.440633 0.002974 0.001761
0.182183 0.442394 0.002974 0.001761
0.185156 0.444155 0.002974 0.001761
0.188130 0.445917 0.002974 0.001761
0.191104 0.447678 0.002974 0.001761
0.194078 0.449439 0.002974 0.001761
0.197051 0.451200 0.002974 0.001761
0.200025 0.452961 0.002974 0.001761
0.202999 0.454722 0.002974 0.001761
0.205973 0.456484 0.002974 0.001761
0.208946 0.458245 0.002974 0.001761
0.211920 0.460006 0.002974 0.001761
0.214894 0.461767 0.002974 0.001761
0.217867 0.463528 0.002974 0.001761
0.220841 0.465289 0.002974 0.001761
0.223815 0.467050 0.002974 0.001761
0.226789 0.468812 0.002974 0.001761
0.229762 0.470573 0.002974 0.001761
0.232736 0.472334 0.002974 0.001761
0.235710 0.474095 0.002974 0.001761
0.238684 0.475856 0.002974 0.001761
0.241657 0.477617 0.002974 0.001761
0.244631 0.479378 0.002974 0.001761
0.247605 0.481140 0.002974 0.001761
0.250579 0.482901 0.002974 0.001761
0.253552 0.484662 0.002974 0.001761
0.256526 0.486423 0.002974 0.001761
0.259500 0.488184 0.002974 0.001761
0.262473 0.489945 0.002974 0.001761
0.265447 0.491706 0.002974 0.001761
0.268421 0.493468 0.002974 0.001761
0.271395 0.495229 0.002974 0.001761
0.274368 0.496990 0.002974 0.001761
0.277342 0.498751 0.002974 0.001761
0.280316 0.500512 0.002974 0.001761
0.283290 0.502273 0.002974 0.001761
0.286263 0.504034 0.002974 0.001761
0.289237 0.505796 0.002974 0.001761
0.292211 0.507557 0.002974 0.001761
0.295184 0.509318 0.002974 0.001761
0.298158 0.511079 0.002974 0.001761
0.301132 0.512840 0.002974 0.001761
0.304106 0.514601 0.002974 0.001761
0.307079 0.516362 0.002974 0.001761
0.310053 0.518124 0.002974 0.001761
0.313027 0.519885 0.002974 0.001761
0.316001 0.521646 0.002974 0.001761
0.318974 0.523407 0.002974 0.001761
0.321948 0.525168 0.002974 0.001761
0.324922 0.526929 0.002974 0.001761
0.327896 0.528691 0.002974 0.001761
0.330869 0.530452 0.002974 0.001761
0.333843 0.532213 0.002974 0.001761
0.336817 0.533974 0.002974 0.001761
